user_id,phone,address,city,state,country,pincode
1,2868397881,806 Oak St,Johannesburg,Gauteng,South Africa,2000
2,0574131016,217 Maple St,London,England,UK,EC1A 1BB
3,6220595849,955 Oak St,Los Angeles,California,USA,90001
4,8543300009,780 Maple St,Bangalore,Karnataka,India,560001
5,7086970110,484 Elm St,Johannesburg,Gauteng,South Africa,2000
6,0420215361,299 Elm St,Moscow,Moscow,Russia,101000
7,5809046101,578 Main St,Manchester,England,UK,M1 1AE
8,9616976857,359 Oak St,Sydney,New South Wales,Australia,2000
9,1021575939,564 Elm St,London,England,UK,EC1A 1BB
10,5793944810,557 Elm St,Houston,Texas,USA,77001
11,0625860345,601 Maple St,Tokyo,Tokyo Prefecture,Japan,100-0001
12,0385657179,666 Pine St,São Paulo,São Paulo,Brazil,01000-000
13,2484080493,105 Maple St,Delhi,Delhi,India,110001
14,7402473668,998 Elm St,New York,New York,USA,10001
15,5322939048,103 Main St,Johannesburg,Gauteng,South Africa,2000
16,1233334246,976 Oak St,Berlin,Berlin,Germany,10115
17,6486470637,837 Maple St,Manchester,England,UK,M1 1AE
18,6987428301,819 Main St,Los Angeles,California,USA,90001
19,8949395167,304 Main St,Mumbai,Maharashtra,India,400001
20,2961880154,921 Main St,Los Angeles,California,USA,90001
21,5608441725,368 Elm St,Johannesburg,Gauteng,South Africa,2000
22,1588604819,981 Oak St,Chicago,Illinois,USA,60601
23,8682692125,377 Main St,Tokyo,Tokyo Prefecture,Japan,100-0001
24,2370333438,442 Pine St,Vancouver,British Columbia,Canada,V5K 0A1
25,0142599831,559 Elm St,Toronto,Ontario,Canada,M5H 2N2
26,4453488399,260 Oak St,Manchester,England,UK,M1 1AE
27,5695559959,537 Elm St,Paris,Île-de-France,France,75000
28,5197354911,241 Oak St,Vancouver,British Columbia,Canada,V5K 0A1
29,6470041000,766 Main St,Beijing,Beijing,China,100000
30,2878979232,645 Pine St,Johannesburg,Gauteng,South Africa,2000
31,7968209431,793 Main St,Johannesburg,Gauteng,South Africa,2000
32,9107420895,805 Elm St,Vancouver,British Columbia,Canada,V5K 0A1
33,8344902546,313 Elm St,Tokyo,Tokyo Prefecture,Japan,100-0001
34,3357798826,838 Elm St,Berlin,Berlin,Germany,10115
35,8134269382,417 Oak St,Beijing,Beijing,China,100000
36,9882301263,234 Main St,Paris,Île-de-France,France,75000
37,9969025314,680 Pine St,São Paulo,São Paulo,Brazil,01000-000
38,0646049317,315 Maple St,Sydney,New South Wales,Australia,2000
